주요재무정보,2015/03,2015/06,2015/09,2015/12,2016/03,2016/06(E),2016/09(E),2016/12(E),code,name
PBR(배),0.96,0.76,0.53,0.48,0.64,0.56,0.56,0.64,042670,두산인프라코어
현금DPS(원),0.0,0.0,0.0,,,,,,042670,두산인프라코어
현금배당수익률,,,,,,,,,042670,두산인프라코어
현금배당성향(%),0.0,0.0,0.0,0.0,,,,,042670,두산인프라코어
발행주식수(보통주),207455314.0,207455314.0,207455314.0,207455314.0,207455314.0,,,,042670,두산인프라코어
주요재무정보,2015/03(IFRS별도),2015/06(IFRS별도),2015/09(IFRS별도),2015/12(IFRS별도),2016/03(IFRS별도),2016/06(E)(IFRS별도),2016/09(E)(IFRS별도),2016/12(E)(IFRS별도),code,name
매출액,0.0,0.0,0.0,0.0,0.0,,,,208370,하나머스트2호스팩
영업이익,0.0,0.0,0.0,0.0,0.0,,,,208370,하나머스트2호스팩
세전계속사업이익,0.0,1.0,1.0,0.0,0.0,,,,208370,하나머스트2호스팩
당기순이익,0.0,0.0,1.0,0.0,0.0,,,,208370,하나머스트2호스팩
당기순이익(지배),0.0,0.0,1.0,0.0,0.0,,,,208370,하나머스트2호스팩
당기순이익(비지배),0.0,0.0,0.0,0.0,0.0,,,,208370,하나머스트2호스팩
자산총계,114.0,115.0,116.0,116.0,116.0,,,,208370,하나머스트2호스팩
부채총계,11.0,11.0,11.0,11.0,12.0,,,,208370,하나머스트2호스팩
자본총계,103.0,103.0,104.0,104.0,105.0,,,,208370,하나머스트2호스팩
자본총계(지배),103.0,103.0,104.0,104.0,105.0,,,,208370,하나머스트2호스팩
자본총계(비지배),,,,,,,,,208370,하나머스트2호스팩
자본금,5.0,5.0,5.0,5.0,5.0,,,,208370,하나머스트2호스팩
영업활동현금흐름,0.0,0.0,0.0,2.0,0.0,,,,208370,하나머스트2호스팩
투자활동현금흐름,0.0,0.0,0.0,-2.0,0.0,,,,208370,하나머스트2호스팩
재무활동현금흐름,0.0,0.0,0.0,0.0,0.0,,,,208370,하나머스트2호스팩
CAPEX,0.0,0.0,0.0,0.0,0.0,,,,208370,하나머스트2호스팩
FCF,,,,,,,,,208370,하나머스트2호스팩
이자발생부채,11.0,11.0,11.0,11.0,11.0,,,,208370,하나머스트2호스팩
영업이익률,,,,,,,,,208370,하나머스트2호스팩
순이익률,,,,,,,,,208370,하나머스트2호스팩
ROE(%),,,,1.61,1.73,,,,208370,하나머스트2호스팩
ROA(%),,,,1.45,1.56,,,,208370,하나머스트2호스팩
부채비율,11.08,11.04,11.04,10.91,10.97,,,,208370,하나머스트2호스팩
자본유보율,1807.39,1814.26,1826.41,1834.43,1840.74,,,,208370,하나머스트2호스팩
EPS(원),4.0,7.0,12.0,8.0,6.0,,,,208370,하나머스트2호스팩
PER(배),,,92.53,64.71,60.27,,,,208370,하나머스트2호스팩
BPS(원),1907.0,1914.0,1926.0,1934.0,1941.0,,,,208370,하나머스트2호스팩
PBR(배),1.15,1.14,1.12,1.03,1.04,,,,208370,하나머스트2호스팩
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,,208370,하나머스트2호스팩
현금배당수익률,,,,,,,,,208370,하나머스트2호스팩
현금배당성향(%),0.0,0.0,0.0,0.0,,,,,208370,하나머스트2호스팩
발행주식수(보통주),5400000.0,5400000.0,5400000.0,5400000.0,5400000.0,,,,208370,하나머스트2호스팩
주요재무정보,2015/03,2015/06,2015/09,2015/12,2016/03,2016/06(E),2016/09(E),2016/12(E),code,name
매출액,236.0,278.0,292.0,336.0,299.0,,,,036690,코맥스
영업이익,-7.0,17.0,28.0,36.0,15.0,,,,036690,코맥스
세전계속사업이익,-7.0,17.0,27.0,36.0,15.0,,,,036690,코맥스
당기순이익,-6.0,12.0,20.0,32.0,11.0,,,,036690,코맥스
당기순이익(지배),-6.0,12.0,20.0,31.0,11.0,,,,036690,코맥스
당기순이익(비지배),0.0,0.0,0.0,0.0,0.0,,,,036690,코맥스
자산총계,806.0,827.0,861.0,891.0,901.0,,,,036690,코맥스
부채총계,375.0,386.0,397.0,399.0,404.0,,,,036690,코맥스
자본총계,431.0,442.0,465.0,493.0,497.0,,,,036690,코맥스
자본총계(지배),429.0,440.0,463.0,491.0,495.0,,,,036690,코맥스
자본총계(비지배),2.0,2.0,2.0,2.0,2.0,,,,036690,코맥스
자본금,67.0,67.0,67.0,67.0,69.0,,,,036690,코맥스
영업활동현금흐름,19.0,14.0,17.0,20.0,18.0,,,,036690,코맥스
투자활동현금흐름,-4.0,-5.0,-3.0,-10.0,0.0,,,,036690,코맥스
재무활동현금흐름,-14.0,13.0,-24.0,-11.0,-13.0,,,,036690,코맥스
CAPEX,3.0,3.0,3.0,6.0,1.0,,,,036690,코맥스
FCF,16.0,11.0,15.0,14.0,17.0,,,,036690,코맥스
이자발생부채,122.0,135.0,112.0,97.0,91.0,,,,036690,코맥스
영업이익률,-2.85,6.0,9.46,10.58,5.04,,,,036690,코맥스
순이익률,-2.43,4.38,6.92,9.41,3.83,,,,036690,코맥스
ROE(%),11.65,9.75,9.53,12.42,16.17,,,,036690,코맥스
ROA(%),5.86,5.03,5.03,6.67,8.85,,,,036690,코맥스
부채비율,86.99,87.31,85.36,80.94,81.29,,,,036690,코맥스
자본유보율,412.49,427.51,457.36,504.17,499.04,,,,036690,코맥스
EPS(원),-42.0,88.0,146.0,228.0,81.0,,,,036690,코맥스
PER(배),17.06,17.46,18.76,15.55,9.19,,,,036690,코맥스
BPS(원),3175.0,3253.0,3424.0,3628.0,3657.0,,,,036690,코맥스
PBR(배),1.86,1.6,1.68,1.81,1.37,,,,036690,코맥스
현금DPS(원),0.0,0.0,0.0,49.0,,,,,036690,코맥스
현금배당수익률,0.0,0.0,0.0,,,,,,036690,코맥스
현금배당성향(%),0.0,0.0,0.0,21.14,,,,,036690,코맥스
발행주식수(보통주),13733612.0,13733612.0,13733612.0,13733612.0,13733612.0,,,,036690,코맥스
주요재무정보,2015/03(IFRS별도),2015/06(IFRS별도),2015/09(IFRS별도),2015/12(IFRS별도),2016/03(IFRS별도),2016/06(E)(IFRS별도),2016/09(E)(IFRS별도),2016/12(E)(IFRS별도),code,name
매출액,152.0,179.0,195.0,202.0,109.0,,,,036560,영풍정밀
영업이익,10.0,20.0,25.0,11.0,6.0,,,,036560,영풍정밀
세전계속사업이익,8.0,47.0,46.0,11.0,5.0,,,,036560,영풍정밀
당기순이익,6.0,38.0,36.0,11.0,4.0,,,,036560,영풍정밀
당기순이익(지배),6.0,38.0,36.0,11.0,4.0,,,,036560,영풍정밀
당기순이익(비지배),,,,,,,,,036560,영풍정밀
자산총계,3553.0,4113.0,3848.0,3591.0,3633.0,,,,036560,영풍정밀
부채총계,671.0,780.0,727.0,617.0,658.0,,,,036560,영풍정밀
자본총계,2882.0,3333.0,3121.0,2974.0,2975.0,,,,036560,영풍정밀
자본총계(지배),2882.0,3333.0,3121.0,2974.0,2975.0,,,,036560,영풍정밀
자본총계(비지배),,,,,,,,,036560,영풍정밀
자본금,79.0,79.0,79.0,79.0,79.0,,,,036560,영풍정밀
영업활동현금흐름,45.0,64.0,68.0,-17.0,48.0,,,,036560,영풍정밀
투자활동현금흐름,-53.0,-73.0,-12.0,-64.0,-3.0,,,,036560,영풍정밀
재무활동현금흐름,0.0,-19.0,,,,,,,036560,영풍정밀
CAPEX,23.0,15.0,15.0,16.0,3.0,,,,036560,영풍정밀
FCF,23.0,50.0,53.0,-32.0,45.0,,,,036560,영풍정밀
이자발생부채,2.0,,,,,,,,036560,영풍정밀
영업이익률,6.37,11.08,12.68,5.52,5.34,,,,036560,영풍정밀
순이익률,4.02,21.32,18.43,5.35,3.88,,,,036560,영풍정밀
ROE(%),3.47,3.15,3.75,3.13,3.04,,,,036560,영풍정밀
ROA(%),2.82,2.56,3.05,2.57,2.48,,,,036560,영풍정밀
부채비율,23.29,23.41,23.31,20.75,22.12,,,,036560,영풍정밀
자본유보율,1464.67,1513.14,1558.78,1564.76,1534.14,,,,036560,영풍정밀
EPS(원),39.0,242.0,228.0,69.0,27.0,,,,036560,영풍정밀
PER(배),18.03,17.46,13.18,14.9,16.52,,,,036560,영풍정밀
BPS(원),18300.0,21161.0,19815.0,18880.0,18890.0,,,,036560,영풍정밀
PBR(배),0.59,0.5,0.47,0.46,0.49,,,,036560,영풍정밀
현금DPS(원),0.0,0.0,0.0,180.0,,,,,036560,영풍정밀
현금배당수익률,,,,,,,,,036560,영풍정밀
현금배당성향(%),0.0,0.0,0.0,262.39,,,,,036560,영풍정밀
발행주식수(보통주),15750000.0,15750000.0,15750000.0,15750000.0,15750000.0,,,,036560,영풍정밀
주요재무정보,2015/03,2015/06,2015/09,2015/12,2016/03,2016/06(E),2016/09(E),2016/12(E),code,name
매출액,2002.0,2249.0,2238.0,2222.0,2307.0,,,,102260,동성코퍼레이션
영업이익,158.0,175.0,171.0,162.0,231.0,,,,102260,동성코퍼레이션
세전계속사업이익,156.0,168.0,146.0,103.0,213.0,,,,102260,동성코퍼레이션
당기순이익,130.0,153.0,112.0,40.0,172.0,,,,102260,동성코퍼레이션
당기순이익(지배),55.0,73.0,80.0,-6.0,111.0,,,,102260,동성코퍼레이션
당기순이익(비지배),75.0,80.0,32.0,46.0,61.0,,,,102260,동성코퍼레이션
자산총계,8144.0,8032.0,7944.0,8017.0,8023.0,,,,102260,동성코퍼레이션
부채총계,4365.0,4211.0,4005.0,4032.0,3998.0,,,,102260,동성코퍼레이션
자본총계,3780.0,3821.0,3939.0,3985.0,4025.0,,,,102260,동성코퍼레이션
자본총계(지배),2012.0,2030.0,2681.0,2663.0,2671.0,,,,102260,동성코퍼레이션
자본총계(비지배),1768.0,1791.0,1258.0,1322.0,1354.0,,,,102260,동성코퍼레이션
자본금,362.0,362.0,454.0,454.0,454.0,,,,102260,동성코퍼레이션
영업활동현금흐름,67.0,326.0,88.0,15.0,461.0,,,,102260,동성코퍼레이션
투자활동현금흐름,-172.0,2.0,-47.0,-116.0,-151.0,,,,102260,동성코퍼레이션
재무활동현금흐름,9.0,-192.0,-124.0,104.0,-165.0,,,,102260,동성코퍼레이션
CAPEX,56.0,74.0,126.0,69.0,31.0,,,,102260,동성코퍼레이션
FCF,12.0,252.0,-38.0,-54.0,430.0,,,,102260,동성코퍼레이션
이자발생부채,2500.0,2490.0,2387.0,2424.0,2229.0,,,,102260,동성코퍼레이션
영업이익률,7.91,7.79,7.66,7.28,10.02,,,,102260,동성코퍼레이션
순이익률,6.49,6.82,5.02,1.79,7.47,,,,102260,동성코퍼레이션
ROE(%),4.81,5.75,6.97,8.65,11.04,,,,102260,동성코퍼레이션
ROA(%),4.18,4.58,4.44,5.41,5.91,,,,102260,동성코퍼레이션
부채비율,115.47,110.21,101.69,101.18,99.34,,,,102260,동성코퍼레이션
자본유보율,458.8,479.01,523.96,521.56,526.8,,,,102260,동성코퍼레이션
EPS(원),153.0,203.0,176.0,-13.0,244.0,,,,102260,동성코퍼레이션
PER(배),31.36,23.64,15.45,12.87,10.76,,,,102260,동성코퍼레이션
BPS(원),5557.0,5607.0,6156.0,6115.0,6100.0,,,,102260,동성코퍼레이션
PBR(배),1.5,1.36,1.08,1.04,1.06,,,,102260,동성코퍼레이션
현금DPS(원),0.0,0.0,0.0,200.0,,,,,102260,동성코퍼레이션
현금배당수익률,,,,,,,,,102260,동성코퍼레이션
현금배당성향(%),0.0,0.0,0.0,-1484.19,,,,,102260,동성코퍼레이션
발행주식수(보통주),36214645.0,36214645.0,45444970.0,45444970.0,45444970.0,,,,102260,동성코퍼레이션
주요재무정보,2015/03,2015/06,2015/09,2015/12,2016/03,2016/06(E),2016/09(E),2016/12(E),code,name
매출액,206.0,209.0,197.0,191.0,214.0,,,,040420,정상제이엘에스
영업이익,24.0,21.0,15.0,8.0,26.0,,,,040420,정상제이엘에스
세전계속사업이익,28.0,22.0,11.0,6.0,32.0,,,,040420,정상제이엘에스
당기순이익,22.0,17.0,10.0,4.0,25.0,,,,040420,정상제이엘에스
당기순이익(지배),22.0,17.0,10.0,4.0,25.0,,,,040420,정상제이엘에스
당기순이익(비지배),0.0,0.0,0.0,0.0,0.0,,,,040420,정상제이엘에스
자산총계,729.0,696.0,713.0,730.0,815.0,,,,040420,정상제이엘에스
부채총계,161.0,110.0,117.0,130.0,246.0,,,,040420,정상제이엘에스
자본총계,568.0,586.0,596.0,600.0,569.0,,,,040420,정상제이엘에스
자본총계(지배),568.0,586.0,596.0,600.0,569.0,,,,040420,정상제이엘에스
자본총계(비지배),0.0,0.0,0.0,0.0,0.0,,,,040420,정상제이엘에스
자본금,85.0,85.0,85.0,85.0,85.0,,,,040420,정상제이엘에스
영업활동현금흐름,24.0,26.0,12.0,33.0,40.0,,,,040420,정상제이엘에스
투자활동현금흐름,-13.0,4.0,-55.0,-3.0,-108.0,,,,040420,정상제이엘에스
재무활동현금흐름,0.0,-55.0,12.0,-2.0,51.0,,,,040420,정상제이엘에스
CAPEX,1.0,1.0,49.0,1.0,105.0,,,,040420,정상제이엘에스
FCF,24.0,25.0,-37.0,32.0,-66.0,,,,040420,정상제이엘에스
이자발생부채,,,,,50.0,,,,040420,정상제이엘에스
영업이익률,11.68,10.19,7.74,4.27,12.32,,,,040420,정상제이엘에스
순이익률,10.53,8.22,4.96,2.11,11.82,,,,040420,정상제이엘에스
ROE(%),10.33,10.4,9.35,8.8,9.93,,,,040420,정상제이엘에스
ROA(%),8.04,8.8,7.86,7.31,7.29,,,,040420,정상제이엘에스
부채비율,28.34,18.84,19.65,21.72,43.16,,,,040420,정상제이엘에스
자본유보율,681.72,702.02,713.62,718.42,682.28,,,,040420,정상제이엘에스
EPS(원),139.0,110.0,63.0,26.0,161.0,,,,040420,정상제이엘에스
PER(배),18.04,16.98,18.71,19.22,17.92,,,,040420,정상제이엘에스
