PBR(배),0.67,0.66,0.59,0.53,0.46,,,,036560,영풍정밀
현금DPS(원),80,80,80,100,180,,,,036560,영풍정밀
현금배당수익률,0.83,0.74,0.82,1.04,2.09,,,,036560,영풍정밀
현금배당성향(%),7.33,9.65,13.69,15.76,31.15,,,,036560,영풍정밀
발행주식수(보통주),15750000,15750000,15750000,15750000,15750000,,,,036560,영풍정밀
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,5821,6540,8234,9054,8712,,,,102260,동성코퍼레이션
영업이익,188,441,439,500,667,,,,102260,동성코퍼레이션
세전계속사업이익,93,377,287,314,573,,,,102260,동성코퍼레이션
당기순이익,21,302,180,291,436,,,,102260,동성코퍼레이션
당기순이익(지배),-18,148,6,73,203,,,,102260,동성코퍼레이션
당기순이익(비지배),39,154,174,218,233,,,,102260,동성코퍼레이션
자산총계,5884,7240,7356,8092,8017,,,,102260,동성코퍼레이션
부채총계,3366,4174,3988,4308,4032,,,,102260,동성코퍼레이션
자본총계,2518,3066,3367,3783,3985,,,,102260,동성코퍼레이션
자본총계(지배),1612,1844,1951,2029,2663,,,,102260,동성코퍼레이션
자본총계(비지배),906,1222,1416,1754,1322,,,,102260,동성코퍼레이션
자본금,241,274,351,362,454,,,,102260,동성코퍼레이션
영업활동현금흐름,316,-260,615,623,497,,,,102260,동성코퍼레이션
투자활동현금흐름,-143,-716,92,-460,-333,,,,102260,동성코퍼레이션
재무활동현금흐름,-90,858,-397,-356,-202,,,,102260,동성코퍼레이션
CAPEX,93,188,284,289,325,,,,102260,동성코퍼레이션
FCF,223,-449,330,335,171,,,,102260,동성코퍼레이션
이자발생부채,2253,2848,2348,2388,2424,,,,102260,동성코퍼레이션
영업이익률,3.23,6.75,5.34,5.53,7.66,,,,102260,동성코퍼레이션
순이익률,0.36,4.62,2.19,3.21,5,,,,102260,동성코퍼레이션
ROE(%),-1.25,8.58,0.32,3.66,8.65,,,,102260,동성코퍼레이션
ROA(%),0.38,4.6,2.47,3.77,5.41,,,,102260,동성코퍼레이션
부채비율,133.66,136.15,118.44,113.88,101.18,,,,102260,동성코퍼레이션
자본유보율,600.43,587.05,463.46,460.45,521.56,,,,102260,동성코퍼레이션
EPS(원),-75,554,22,203,496,,,,102260,동성코퍼레이션
PER(배),-53.13,10.38,243.27,32.9,12.87,,,,102260,동성코퍼레이션
BPS(원),6686,6725,5562,5604,6115,,,,102260,동성코퍼레이션
PBR(배),0.6,0.86,0.95,1.19,1.04,,,,102260,동성코퍼레이션
현금DPS(원),0,100,100,170,200,,,,102260,동성코퍼레이션
현금배당수익률,0,1.74,1.89,2.54,3.13,,,,102260,동성코퍼레이션
현금배당성향(%),0,18.5,585.66,84.52,42.93,,,,102260,동성코퍼레이션
발행주식수(보통주),24121467,27426202,35084706,36214645,45444970,,,,102260,동성코퍼레이션
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,870,828,766,782,803,,,,040420,정상제이엘에스
영업이익,147,104,80,72,69,,,,040420,정상제이엘에스
세전계속사업이익,122,111,81,70,68,,,,040420,정상제이엘에스
당기순이익,94,90,65,55,53,,,,040420,정상제이엘에스
당기순이익(지배),94,90,65,55,53,,,,040420,정상제이엘에스
당기순이익(비지배),0,0,0,0,0,,,,040420,정상제이엘에스
자산총계,690,709,705,711,730,,,,040420,정상제이엘에스
부채총계,107,110,104,109,130,,,,040420,정상제이엘에스
자본총계,584,599,600,602,600,,,,040420,정상제이엘에스
자본총계(지배),583,598,600,602,600,,,,040420,정상제이엘에스
자본총계(비지배),0,0,0,0,0,,,,040420,정상제이엘에스
자본금,85,85,85,85,85,,,,040420,정상제이엘에스
영업활동현금흐름,96,116,134,108,94,,,,040420,정상제이엘에스
투자활동현금흐름,62,-33,-74,-34,-68,,,,040420,정상제이엘에스
재무활동현금흐름,-105,-75,-65,-53,-46,,,,040420,정상제이엘에스
CAPEX,15,38,36,15,51,,,,040420,정상제이엘에스
FCF,81,78,98,94,43,,,,040420,정상제이엘에스
이자발생부채,,,,,,,,,040420,정상제이엘에스
영업이익률,16.93,12.6,10.42,9.21,8.56,,,,040420,정상제이엘에스
순이익률,10.78,10.92,8.45,7,6.56,,,,040420,정상제이엘에스
ROE(%),,15.31,10.81,9.13,8.8,,,,040420,정상제이엘에스
ROA(%),,12.93,9.16,7.74,7.31,,,,040420,정상제이엘에스
부채비율,18.31,18.43,17.34,18.07,21.72,,,,040420,정상제이엘에스
자본유보율,701.54,720.17,722.99,722.01,718.42,,,,040420,정상제이엘에스
EPS(원),576,574,413,350,337,,,,040420,정상제이엘에스
PER(배),10.37,8.31,13.21,17.36,19.22,,,,040420,정상제이엘에스
BPS(원),3864,4029,4041,4042,4022,,,,040420,정상제이엘에스
PBR(배),1.55,1.19,1.35,1.5,1.61,,,,040420,정상제이엘에스
현금DPS(원),400,420,420,420,420,,,,040420,정상제이엘에스
현금배당수익률,6.69,8.8,7.69,6.91,6.48,,,,040420,정상제이엘에스
현금배당성향(%),64.42,68.96,86.03,101.83,105.84,,,,040420,정상제이엘에스
발행주식수(보통주),15917552,15677552,15677552,15677552,15677552,,,,040420,정상제이엘에스
주요재무정보,2011,2012(IFRS별도),2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(E)(IFRS별도),2017(E)(IFRS별도),2018(E)(IFRS별도),code,name
매출액,10074,8528,8480,7598,6590,,,,104480,티케이케미칼
영업이익,312,-137,3,159,90,,,,104480,티케이케미칼
세전계속사업이익,423,-349,151,351,270,,,,104480,티케이케미칼
당기순이익,382,-285,116,111,122,,,,104480,티케이케미칼
당기순이익(지배),382,-285,116,111,122,,,,104480,티케이케미칼
당기순이익(비지배),,,,,,,,,104480,티케이케미칼
자산총계,6663,4740,5327,5711,5507,,,,104480,티케이케미칼
부채총계,4451,2848,3343,3586,3139,,,,104480,티케이케미칼
자본총계,2212,1892,1985,2125,2368,,,,104480,티케이케미칼
자본총계(지배),2212,1892,1985,2125,2368,,,,104480,티케이케미칼
자본총계(비지배),,,,,,,,,104480,티케이케미칼
자본금,450,450,450,450,454,,,,104480,티케이케미칼
영업활동현금흐름,52,-411,562,-550,272,,,,104480,티케이케미칼
투자활동현금흐름,-336,-122,-914,228,-1,,,,104480,티케이케미칼
재무활동현금흐름,289,258,-85,297,-300,,,,104480,티케이케미칼
CAPEX,361,30,162,122,114,,,,104480,티케이케미칼
FCF,-309,-442,400,-672,158,,,,104480,티케이케미칼
이자발생부채,1323,1757,1743,2152,1928,,,,104480,티케이케미칼
영업이익률,3.1,-1.6,0.04,2.09,1.37,,,,104480,티케이케미칼
순이익률,3.79,-3.34,1.37,1.47,1.85,,,,104480,티케이케미칼
ROE(%),,-13.89,6,5.42,5.44,,,,104480,티케이케미칼
ROA(%),,-5,2.31,2.02,2.18,,,,104480,티케이케미칼
부채비율,201.26,150.53,168.43,168.78,132.6,,,,104480,티케이케미칼
자본유보율,390.72,319.67,349.74,368.43,396.31,,,,104480,티케이케미칼
EPS(원),438,-317,129,124,135,,,,104480,티케이케미칼
PER(배),4.64,-5.72,13.81,14.99,16.41,,,,104480,티케이케미칼
BPS(원),2457,2218,2326,2490,2746,,,,104480,티케이케미칼
PBR(배),0.83,0.82,0.77,0.74,0.8,,,,104480,티케이케미칼
현금DPS(원),0,0,0,0,0,,,,104480,티케이케미칼
현금배당수익률,0,0,0,0,0,,,,104480,티케이케미칼
현금배당성향(%),,,0,0,0,,,,104480,티케이케미칼
발행주식수(보통주),90000000,90000000,90000000,90000000,90895434,,,,104480,티케이케미칼
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,477,371,255,289,407,,,,048410,현대아이비티
영업이익,-146,-52,-83,6,14,,,,048410,현대아이비티
세전계속사업이익,-167,-81,-95,-13,9,,,,048410,현대아이비티
당기순이익,-169,-80,-104,-31,7,,,,048410,현대아이비티
당기순이익(지배),-169,-80,-104,-31,7,,,,048410,현대아이비티
당기순이익(비지배),,,,,,,,,048410,현대아이비티
자산총계,305,321,308,328,434,,,,048410,현대아이비티
부채총계,163,132,90,103,188,,,,048410,현대아이비티
자본총계,142,189,218,225,246,,,,048410,현대아이비티
자본총계(지배),142,189,218,225,246,,,,048410,현대아이비티
자본총계(비지배),,,,,,,,,048410,현대아이비티
자본금,50,102,149,151,151,,,,048410,현대아이비티
영업활동현금흐름,40,-79,-92,-3,1,,,,048410,현대아이비티
투자활동현금흐름,-18,-60,-7,-27,2,,,,048410,현대아이비티
재무활동현금흐름,-33,119,89,16,94,,,,048410,현대아이비티
CAPEX,3,37,3,8,6,,,,048410,현대아이비티
FCF,37,-116,-95,-11,-6,,,,048410,현대아이비티
이자발생부채,73,77,50,49,134,,,,048410,현대아이비티
영업이익률,-30.72,-14.01,-32.69,2.24,3.33,,,,048410,현대아이비티
순이익률,-35.54,-21.46,-40.54,-10.75,1.75,,,,048410,현대아이비티
ROE(%),-73.22,-48.13,-50.87,-14.04,3.02,,,,048410,현대아이비티
